KG id;SPARQL availability;RDF dump availability;VoID availability;License (metadata);License machine redeable (query)
apache;False;True;VoID file absent;http://www.opendefinition.org/licenses/cc-by;-
apertium-rdf;False;True;VoID file absent;-;-
apertium-rdf-ca-it;True;True;VoID file absent;-;-
apertium-rdf-en-ca;True;True;VoID file absent;-;-
apertium-rdf-en-es;True;True;VoID file absent;-;-
apertium-rdf-en-gl;True;True;VoID file absent;-;-
apertium-rdf-eo-ca;True;True;VoID file absent;-;-
apertium-rdf-eo-en;True;True;VoID file absent;-;-
apertium-rdf-eo-es;True;True;VoID file absent;-;-
apertium-rdf-eo-fr;True;True;VoID file absent;-;-
apertium-rdf-es-an;True;True;VoID file absent;-;-
apertium-rdf-es-ast;True;True;VoID file absent;-;-
apertium-rdf-es-ca;True;True;VoID file absent;-;-
apertium-rdf-es-gl;True;True;VoID file absent;-;-
apertium-rdf-es-pt;True;True;VoID file absent;-;-
apertium-rdf-es-ro;True;True;VoID file absent;-;-
apertium-rdf-eu-en;True;True;VoID file absent;-;-
apertium-rdf-eu-es;True;True;VoID file absent;-;-
apertium-rdf-fr-ca;True;True;VoID file absent;-;-
apertium-rdf-fr-es;True;True;VoID file absent;-;-
apertium-rdf-oc-ca;True;True;VoID file absent;-;-
apertium-rdf-oc-es;True;True;VoID file absent;-;-
apertium-rdf-pt-ca;True;True;VoID file absent;-;-
apertium-rdf-pt-gl;True;True;VoID file absent;-;-
aragodbpedia;True;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;https://creativecommons.org/licenses/by-nc/4.0/
archiveshub-linkeddata;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
arrayexpress_e-mtab-104;False;True;VoID file absent;-;-
arrayexpress-e-afmx-1;False;True;VoID file absent;-;-
artenuevosmedios-gnoss;False;True;VoID file offline;http://creativecommons.org/licenses/by-nc/2.0/;-
arthroscopy;False;True;VoID file offline;http://creativecommons.org/licenses/by-nc/2.0/;-
ASCDC_-_CCP_Archive;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
ASCDC_-_DNB;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
ASCDC-_NTM-Formosan-Aborigines;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
ASCDC-AS-NTUE-School-Art-Textbooks;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
ASCDC-AS-TFD-Fish-Species;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
ASCDC-CRB;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
ASCDC-CTS-TV-Programs;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
ASCDC-DQOT;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
ASCDC-IHP-WCD;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
ASCDC-Linked-Taiwan-Artists;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
ASCDC-NMMBA-Aquatic-Animals-in-Taiwan;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
ASCDC-NMMBA-Fish-Otoliths;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
ASCDC-Tibetan-Audio-Archive;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
asit;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by-sa;-
asjp;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
asn-us;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
aspire-mmu;False;True;VoID file offline;-;-
associations;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by-sa;-
athelia-rfid;False;True;VoID file offline;http://creativecommons.org/licenses/by-nc/2.0/;-
AugustiniConfessiones;False;True;VoID file available;http://www.opendefinition.org/licenses/cc-by-sa;-
austrian_ski_racers;False;False;VoID file offline;http://www.opendefinition.org/licenses/gfdl;-
b3kat;True;True;VoID file available;http://www.opendefinition.org/licenses/cc-zero;-
babelnet;False;True;VoID file absent;-;-
Bacevicius.lt;False;False;VoID file offline;https://opendefinition.org/licenses/fal;-
bag;False;True;VoID file offline;-;-
baixue;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
baixue_composer;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
baixue_imagery;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
baixue_imagery1;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
basque-eurowordnet-lemon-lexicon-3-0;False;True;VoID file absent;http://www.opendefinition.org/licenses/cc-by;-
bbc-music;False;True;VoID file offline;-;-
bbc-programmes;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
bbc-wildlife-finder;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
bbop-selected;False;False;VoID file offline;-;-
bdgp;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
bendevoficial;False;True;VoID file offline;https://opensource.org/licenses/MIT;-
beneficiaries-of-the-european-commission;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
berlios;False;True;VoID file absent;-;-
betweenourworlds;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
bfs-linked-data;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
bibbase;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-by-sa;-
biblioteca-escolar-digital-cita;False;True;VoID file offline;http://creativecommons.org/licenses/by-nc/2.0/;-
biblioteca-nacional-escolar-bnescolar;False;True;VoID file absent;-;-
BibSonomy;False;True;VoID file offline;http://creativecommons.org/licenses/by-nc/2.0/;-
billion_triples_challenge_dataset_2010;False;False;VoID file offline;-;-
billion_triples_challenge_dataset2008;False;True;VoID file offline;-;https://w3id.org/italia/env/ld/catalog/license/ccby40
bio2rdf-affymetrix;True;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-biomodels;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-bioportal;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-chembl;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-clinicaltrials;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-ctd;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-dataset;False;True;VoID file absent;-;-
bio2rdf-dbsnp;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-drugbank;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-genage;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-gendr;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-goa;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-hgnc;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-homologene;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-interpro;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-iproclass;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-irefindex;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-linkedspl;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-lsr;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-mesh;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-mgi;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-ncbigene;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-ndc;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-nextprot;False;False;VoID file absent;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-omim;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-omim-resources;False;True;VoID file absent;-;http://creativecommons.org/licenses/by/3.0/
bio2rdf-orphanet;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-pathwaycommons;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-pharmgkb;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-pubmed;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-sabiork;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-sgd;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-sgd-resources;False;True;VoID file absent;-;http://creativecommons.org/licenses/by/3.0/
bio2rdf-sider;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-taxon;False;True;VoID file absent;-;http://creativecommons.org/licenses/by/3.0/
bio2rdf-taxonomy;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-wikipathways;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
bio2rdf-wormbase;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/
biographical-directory-of-the-united-states-congress;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
biolod-pdb;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-by-sa;-
biomodels-rdf;False;True;VoID file absent;http://www.opendefinition.org/licenses/cc-zero;-
Biop;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
Bioportal;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
Bioportal_link;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
bioportal-aao;False;True;VoID file offline;-;-
bioportal-aba;False;True;VoID file offline;-;-
bioportal-acgt;False;True;VoID file offline;-;-
bioportal-adw;False;True;VoID file offline;-;-
bioportal-aeo;False;True;VoID file offline;-;-
bioportal-aero;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
bioportal-air;False;True;VoID file offline;-;-
bioportal-amino-acid;False;True;VoID file offline;-;-
bioportal-apo;False;True;VoID file offline;-;-
bioportal-atmo;False;True;VoID file offline;-;-
bioportal-ato;False;True;VoID file offline;-;-
bioportal-bao;False;True;VoID file offline;-;-
bioportal-basic-vertebrate-gross-anatomy;False;True;VoID file offline;-;-
bioportal-bcgo;False;True;VoID file offline;-;-
bioportal-bdo;False;True;VoID file offline;-;-
bioportal-bfo;False;True;VoID file offline;-;-
bioportal-bho;False;True;VoID file offline;-;-
bioportal-bila;False;True;VoID file offline;-;-
bioportal-birnlex;False;True;VoID file offline;-;-
bioportal-bootstrep;False;True;VoID file offline;-;-
bioportal-bp;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
bioportal-bro_x1;False;True;VoID file offline;-;-
bioportal-bspo;False;True;VoID file offline;-;-
bioportal-bt;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
bioportal-bto;False;True;VoID file offline;-;-
bioportal-canco;False;True;VoID file offline;-;-
bioportal-cao;False;True;VoID file offline;-;-
bioportal-carelex;False;True;VoID file offline;-;-
bioportal-cco;False;True;VoID file offline;-;-
bioportal-cdao;False;True;VoID file offline;-;-
bioportal-chebi;False;True;VoID file offline;-;-
bioportal-chem2bio2owl;False;True;VoID file offline;-;-
bioportal-cheminf;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by-sa;-
bioportal-cl;False;True;VoID file offline;-;-
bioportal-clo;False;True;VoID file offline;-;-
bioportal-cmo;False;True;VoID file offline;-;-
bioportal-cno;False;True;VoID file offline;-;-
bioportal-co_wheat;False;True;VoID file offline;-;-
bioportal-cogat;False;True;VoID file offline;-;-
bioportal-cogpo;False;True;VoID file offline;-;-
bioportal-cpt;False;True;VoID file offline;-;-
bioportal-csp;False;True;VoID file offline;-;-
bioportal-cst;False;True;VoID file offline;-;-
bioportal-ctcae;False;True;VoID file offline;-;-
bioportal-ctx;False;True;VoID file offline;-;-
bioportal-dc_cl;False;True;VoID file offline;-;-
bioportal-ddanat;False;True;VoID file offline;-;-
bioportal-ddi;False;True;VoID file offline;-;-
bioportal-diagnosticont;False;True;VoID file offline;-;-
bioportal-dikb-evidence;False;True;VoID file offline;-;-
bioportal-doid;False;True;VoID file offline;-;-
bioportal-ecg;False;True;VoID file offline;-;-
bioportal-eco;False;True;VoID file offline;-;-
bioportal-efo;False;True;VoID file offline;-;-
bioportal-ehda;False;True;VoID file offline;-;-
bioportal-ehdaa;False;True;VoID file offline;-;-
bioportal-ehdaa2;False;True;VoID file offline;-;-
bioportal-emap;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
bioportal-envo;False;True;VoID file offline;-;-
bioportal-eo;False;True;VoID file offline;-;-
bioportal-ep;False;True;VoID file offline;-;-
bioportal-epileponto;False;True;VoID file offline;-;-
bioportal-ero;False;True;VoID file offline;-;-
bioportal-ev;False;True;VoID file offline;-;-
bioportal-exo;False;True;VoID file offline;-;-
bioportal-fao;False;True;VoID file offline;-;-
bioportal-fbbi;False;True;VoID file offline;-;-
bioportal-fbbt;False;True;VoID file offline;-;-
bioportal-fbcv;False;True;VoID file offline;-;-
bioportal-fbdv;False;True;VoID file offline;-;-
bioportal-fbsp;False;True;VoID file offline;-;-
bioportal-fda-meddevice;False;True;VoID file offline;-;-
bioportal-fhho;False;True;VoID file offline;-;-
bioportal-flu;False;True;VoID file offline;-;-
bioportal-fma;False;True;VoID file offline;-;-
bioportal-fypo;False;True;VoID file offline;-;-
bioportal-geospecies;False;True;VoID file offline;-;-
bioportal-gfo;False;True;VoID file offline;-;-
bioportal-gfo-bio;False;True;VoID file offline;-;-
bioportal-go_x1;False;True;VoID file offline;-;-
bioportal-go_x2;False;True;VoID file offline;-;-
bioportal-gro;False;True;VoID file offline;-;-
bioportal-gro_x1;False;True;VoID file offline;-;-
bioportal-gro_x2;False;True;VoID file offline;-;-
bioportal-hao;False;True;VoID file offline;-;-
bioportal-hcpcs;False;True;VoID file offline;-;-
bioportal-hl7;False;True;VoID file offline;-;-
bioportal-hlth_indics;False;True;VoID file offline;-;-
bioportal-hom;False;True;VoID file offline;-;-
bioportal-hom_harvard;False;True;VoID file offline;-;-
bioportal-hp_x1;False;True;VoID file offline;-;-
bioportal-hpio;False;True;VoID file offline;-;-
bioportal-hugo;False;True;VoID file offline;-;-
bioportal-iao;False;True;VoID file offline;-;-
bioportal-icd10;False;True;VoID file offline;-;-
bioportal-icd10cm;False;True;VoID file offline;-;-
bioportal-icd10pcs;False;True;VoID file offline;-;-
bioportal-icd9cm;False;True;VoID file offline;-;-
bioportal-icf_x1;False;True;VoID file offline;-;-
bioportal-icnp;False;True;VoID file offline;-;-
bioportal-icpc;False;True;VoID file offline;-;-
bioportal-icpc2p;False;True;VoID file offline;-;-
bioportal-icps;False;True;VoID file offline;-;-
bioportal-ido;False;True;VoID file offline;-;-
bioportal-idobru;False;True;VoID file offline;-;-
bioportal-idomal;False;True;VoID file offline;-;-
bioportal-iev;False;True;VoID file offline;-;-
bioportal-imgt;False;True;VoID file offline;-;-
bioportal-imr;False;True;VoID file offline;-;-
bioportal-ino;False;True;VoID file offline;-;-
bioportal-invertebrata;False;True;VoID file offline;-;-
bioportal-ixno;False;True;VoID file offline;-;-
bioportal-jerm;False;True;VoID file offline;-;-
bioportal-kisao;False;True;VoID file offline;-;-
bioportal-lhn;False;True;VoID file offline;-;-
bioportal-lipro;False;True;VoID file offline;-;-
bioportal-lnc;False;True;VoID file offline;-;-
bioportal-ma;False;True;VoID file offline;-;-
bioportal-mao;False;True;VoID file offline;-;-
bioportal-mat;False;True;VoID file offline;-;-
bioportal-mcbcc;False;True;VoID file offline;-;-
bioportal-mccl;False;True;VoID file offline;-;-
bioportal-mccl_x1;False;True;VoID file offline;-;-
bioportal-mcv;False;True;VoID file offline;-;-
bioportal-mddb;False;True;VoID file offline;-;-
bioportal-mdr;False;True;VoID file offline;-;-
bioportal-medlineplus;False;True;VoID file offline;-;-
bioportal-mego;False;True;VoID file offline;-;-
bioportal-mesh-owl;False;True;VoID file offline;-;-
bioportal-mf;False;True;VoID file offline;-;-
bioportal-mfo;False;True;VoID file offline;-;-
bioportal-mfoem;False;True;VoID file offline;-;-
bioportal-mhc;False;True;VoID file offline;-;-
bioportal-mi;False;True;VoID file offline;-;-
bioportal-miro;False;True;VoID file offline;-;-
bioportal-mmo;False;True;VoID file offline;-;-
bioportal-mo;False;True;VoID file offline;-;-
bioportal-mod;False;True;VoID file offline;-;-
bioportal-mp;False;True;VoID file offline;-;-
bioportal-mpath;False;True;VoID file offline;-;-
bioportal-ms;False;True;VoID file offline;-;-
bioportal-msh;False;True;VoID file offline;-;-
bioportal-mthch;False;True;VoID file offline;-;-
bioportal-natpro;False;True;VoID file offline;-;-
bioportal-ncbitaxon;False;True;VoID file offline;-;-
bioportal-ncit;False;True;VoID file offline;-;-
bioportal-nddf;False;True;VoID file offline;-;-
bioportal-ndfrt;False;True;VoID file offline;-;-
bioportal-nemo_x1;False;True;VoID file offline;-;-
bioportal-neomark;False;True;VoID file offline;-;-
bioportal-neomarkontology;False;True;VoID file offline;-;-
bioportal-nif;False;True;VoID file offline;-;-
bioportal-nif_cell;False;True;VoID file offline;-;-
bioportal-nif_dysfunction;False;True;VoID file offline;-;-
bioportal-nigo;False;True;VoID file offline;-;-
bioportal-nmr;False;True;VoID file offline;-;-
bioportal-nonrctontology;False;True;VoID file offline;-;-
bioportal-npo;False;True;VoID file offline;-;-
bioportal-oae;False;True;VoID file offline;-;-
bioportal-obi;False;True;VoID file offline;-;-
bioportal-oboe;False;True;VoID file offline;-;-
bioportal-oboe-sbc;False;True;VoID file offline;-;-
bioportal-ocre;False;True;VoID file offline;-;-
bioportal-odgi;False;True;VoID file offline;-;-
bioportal-ogi;False;True;VoID file offline;-;-
bioportal-ogmd;False;True;VoID file offline;-;-
bioportal-ogms;False;True;VoID file offline;-;-
bioportal-omim;False;True;VoID file offline;-;-
bioportal-omit;False;True;VoID file offline;-;-
bioportal-omrse;False;False;VoID file offline;https://opendefinition.org/licenses/fal;-
bioportal-ontodm;False;True;VoID file offline;-;-
bioportal-ontodt;False;True;VoID file offline;-;-
bioportal-ontoorpha;False;True;VoID file offline;http://creativecommons.org/licenses/by-nc/2.0/;-
bioportal-opl;False;True;VoID file offline;-;-
bioportal-pato;False;True;VoID file offline;-;-
bioportal-pdq;False;True;VoID file offline;-;-
bioportal-pedterm;False;True;VoID file offline;-;-
bioportal-peo;False;True;VoID file offline;-;-
bioportal-phare;False;True;VoID file offline;-;-
bioportal-pko;False;True;VoID file offline;-;-
bioportal-pma;False;True;VoID file offline;-;-
bioportal-pmr;False;True;VoID file offline;-;-
bioportal-po;False;True;VoID file offline;-;-
bioportal-po_x1;False;True;VoID file offline;-;-
bioportal-po_x2;False;True;VoID file offline;-;-
bioportal-pr;False;True;VoID file offline;-;-
bioportal-propreo;False;True;VoID file offline;-;-
bioportal-pw;False;True;VoID file offline;-;-
bioportal-qibo;False;True;VoID file offline;-;-
bioportal-rcd;False;True;VoID file offline;-;-
bioportal-rctontology;False;True;VoID file offline;-;-
bioportal-repo;False;True;VoID file offline;-;-
bioportal-rex;False;True;VoID file offline;-;-
bioportal-rid;False;True;VoID file offline;-;-
bioportal-rnao;False;True;VoID file offline;-;-
bioportal-roleo;False;True;VoID file offline;-;-
bioportal-rs;False;True;VoID file offline;-;-
bioportal-rxnorm;False;True;VoID file offline;-;-
bioportal-sao;False;True;VoID file offline;-;-
bioportal-sbo;False;True;VoID file offline;-;-
bioportal-sbro;False;True;VoID file offline;-;-
bioportal-sdo;False;True;VoID file offline;-;-
bioportal-sep;False;True;VoID file offline;-;-
bioportal-shr;False;True;VoID file offline;-;-
bioportal-sio;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
bioportal-sitbac;False;True;VoID file offline;-;-
bioportal-snomedct;False;True;VoID file offline;-;-
bioportal-snpo;False;True;VoID file offline;-;-
bioportal-so_x1;False;True;VoID file offline;-;-
bioportal-sopharm;False;True;VoID file offline;-;-
bioportal-soy;False;True;VoID file offline;-;-
bioportal-spd;False;True;VoID file offline;-;-
bioportal-spto;False;True;VoID file offline;-;-
bioportal-sso;False;True;VoID file offline;-;-
bioportal-swo;False;True;VoID file offline;-;-
bioportal-tads;False;True;VoID file offline;-;-
bioportal-tao;False;True;VoID file offline;-;-
bioportal-taxrank;False;True;VoID file offline;-;-
bioportal-teddy;False;True;VoID file offline;-;-
bioportal-teo;False;True;VoID file offline;-;-
bioportal-tgma;False;True;VoID file offline;-;-
bioportal-thesaurus;False;True;VoID file offline;-;-
bioportal-tm-signs-and-sympts;False;True;VoID file offline;-;-
bioportal-tmo;False;True;VoID file offline;-;-
bioportal-to;False;True;VoID file offline;-;-
bioportal-tok;False;True;VoID file offline;-;-
bioportal-tto;False;True;VoID file offline;-;-
bioportal-uberon;False;True;VoID file offline;-;-
bioportal-unitsontology;False;True;VoID file offline;-;-
bioportal-uo;False;True;VoID file offline;-;-
bioportal-vandf;False;True;VoID file offline;-;-
bioportal-vao;False;True;VoID file offline;-;-
bioportal-vhog;False;True;VoID file offline;-;-
bioportal-vivo;False;True;VoID file offline;-;-
bioportal-vo;False;True;VoID file offline;-;-
bioportal-vt;False;True;VoID file offline;-;-
bioportal-wbbt;False;True;VoID file offline;-;-
bioportal-wbls;False;True;VoID file offline;-;-
bioportal-wbphenotype;False;True;VoID file offline;-;-
bioportal-who;False;True;VoID file offline;-;-
bioportal-xao;False;True;VoID file offline;-;-
bioportal-xco;False;True;VoID file offline;-;-
bioportal-ypo;False;True;VoID file offline;-;-
bioportal-zfa;False;True;VoID file offline;-;-
biosamples-rdf;False;True;VoID file absent;-;-
bis-linked-data;False;False;VoID file absent;http://www.opendefinition.org/licenses/cc-zero;-
bll-thesaurus;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
bluk-bnb;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
bncf-ns;True;True;VoID file available;http://www.opendefinition.org/licenses/cc-by;https://creativecommons.org/licenses/by/4.0/deed.it
bpr;True;True;VoID file absent;http://www.opendefinition.org/licenses/cc-by-sa;https://creativecommons.org/licenses/by/3.0/deed.it
brazilian-politicians;False;False;VoID file offline;-;-
bricklink;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
british-museum-collection;False;False;VoID file offline;-;-
brown-corpus-in-rdf-nif;False;False;VoID file absent;http://www.opendefinition.org/licenses/cc-by-sa;-
business-data-gov-uk;False;False;VoID file offline;-;-
BVMC;True;True;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
cablegate;False;False;VoID file offline;-;-
calames;False;True;VoID file offline;-;-
caligraph;True;True;VoID file available;http://www.opendefinition.org/licenses/cc-by-sa;-
CaLiGraph;True;False;VoID file available;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by-sa/4.0/
cap-italy-rdf;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-by-sa;-
